nume_of_bus_stops,accessible_population,geographic_coverage,community_area_size,community_num,community_name,makani_points,report_date,population
"8","1244","0","1","324","AL KIFAF","18","2024-12-31","1317"
"2","3307","100","2","244","MUHAISANAH THIRD","652","2024-12-31","7024"
"35","85080","100","2","127","HOR AL ANZ","1975","2024-12-31","85080"
"0","0","0","70","978","SAIH SHUA'ALAH","6","2024-12-31","0"
"1","0","0","171","961","AL SELAL","42","2024-12-31","685"
"0","0","0","82","956","AL HATHMAH","3","2024-12-31","37"
"12","26279","100","1","383","AL THANYAH FIRST","169","2024-12-31","26279"
"1","0","1","30","645","WADI AL SAFA 3","2992","2024-12-31","10475"
"13","10757","79","3","362","UMM SUQEIM SECOND","1771","2024-12-31","13502"
"9","2589","0","5","672","AL BARSHA SOUTH SECOND","1343","2024-12-31","7350"
"0","0","0","27","727","AL WOHOOSH","5","2024-12-31","47"
"21","33484","100","2","231","AL NAHDA FIRST","85","2024-12-31","33484"
"21","11708","91","4","265","OUD AL MUTEENA FIRST","2480","2024-12-31","15867"
"20","4687","93","6","412","AL KHEERAN","132","2024-12-31","5333"
"0","0","0","37","988","AL LAYAN 2","5","2024-12-31","0"
"10","48567","100","1","316","AL RAFFA","453","2024-12-31","49440"
"9","108","0","14","221","DUBAI INT'L AIRPORT","376","2024-12-31","121"
"0","1244","0","2","266","OUD AL MUTEENA SECOND","742","2024-12-31","5953"
"1","34","0","35","847","UMM ESELAY","52","2024-12-31","218"
"8","10789","37","4","674","AL HEBIAH FIRST","667","2024-12-31","11279"
"52","58856","95","17","598","DUBAI INVESTMENT PARK FIRST","1840","2024-12-31","63591"
"2","5286","32","14","922","AL YALAYIS 2","2753","2024-12-31","5292"
"9","38506","100","1","313","AL HAMRIYA","367","2024-12-31","38611"
"14","9832","89","3","129","PORT SAEED","358","2024-12-31","14425"
"0","0","0","28","987","AL LAYAN 1","16","2024-12-31","300"
"0","0","0","46","914","UMM NAHAD FOURTH","1","2024-12-31","4"
"0","0","0","10","686","ME'AISEM SECOND","2","2024-12-31","13"
"8","7955","57","11","337","ZAA'BEEL SECOND","329","2024-12-31","8842"
"2","0","0","3","677","AL HEBIAH SIXTH","0","2023-12-31","2359"
"24","505","6","40","711","AL AWIR FIRST","1562","2024-12-31","4997"
"0","1","0","44","724","ENKHALI","4","2024-12-31","2"
"8","166","50","11","283","ALEYAS","168","2024-12-31","1858"
"0","0","0","125","502","AL WAJEHA AL BAHRIAH","0","2024-12-31","4"
"28","77139","100","2","318","AL KARAMA","709","2024-12-31","77139"
"6","4684","96","16","532","SAIH SHUAIB 3","108","2024-12-31","4684"
"1","728","0","10","347","AL MERKADH","804","2024-12-31","3875"
"2","1771","0","24","511","HESSYAN FIRST","344","2024-12-31","3365"
"18","16753","0","16","685","ME'AISEM FIRST","1211","2024-12-31","18664"
"13","5712","59","5","261","MUHAISNAH FIRST","970","2024-12-31","8809"
"0","0","0","0","304","JUMEIRA ISLAND 2","1","2024-12-31","3"
"12","10298","95","8","683","AL HEBIAH FIFTH","91","2024-12-31","10412"
"11","6272","81","3","366","UMM SUQEIM THIRD","983","2024-12-31","7935"
"8","926","0","24","271","WADI ALAMARDI","382","2024-12-31","3645"
"0","0","0","9","912","UMM NAHAD SECOND","4","2024-12-31","2"
"3","5065","14","5","424","AL WARQA'A FOURTH","1931","2024-12-31","14575"
"3","2","12","35","824","UMM AL DAMAN","309","2024-12-31","301"
"28","10530","86","5","343","AL WASL","1045","2024-12-31","12227"
"12","20773","96","1","132","AL WUHEIDA","1069","2024-12-31","21686"
"5","6183","53","2","363","AL MANARA","1221","2024-12-31","8923"
"22","18116","100","1","126","ABU HAIL","1501","2024-12-31","18116"
"2","5","0","14","911","UMM NAHAD FIRST","12","2024-12-31","8"
"6","507","0","1","131","AL HAMRIYA PORT","13","2024-12-31","507"
"5","34","40","22","618","NADD AL SHIBA FIRST","1600","2024-12-31","6872"
"16","28101","100","33","518","JABAL ALI INDUSTRIAL SECOND","1101","2024-12-31","28152"
"3","2494","89","18","921","AL YALAYIS 1","3295","2024-12-31","2494"
"0","16873","100","0","113","AL DAGHAYA","396","2024-12-31","16873"
"16","9592","84","4","422","AL WARQA'A SECOND","1321","2024-12-31","11530"
"33","33163","100","4","373","AL BARSHA FIRST","1385","2024-12-31","42332"
"2","0","0","36","826","LE HEMAIRA","4","2024-12-31","56"
"0","0","0","3","684","AL BARSHA SOUTH FIFTH","1639","2024-12-31","7997"
"0","0","0","144","991","HEFAIR","3","2024-12-31","12"
"2","19","16","42","513","SAIH SHUAIB 1","62","2024-12-31","90"
"0","0","0","12","919","AL YUFRAH 4","4","2024-12-31","3"
"6","22829","55","4","388","AL THANYAH THIRD","1341","2024-12-31","22829"
"8","53403","100","1","118","NAIF","841","2024-12-31","53403"
"10","26","0","89","951","SAIH AL SALAM","48","2024-12-31","616"
"3","4824","35","3","228","AL TWAR THIRD","920","2024-12-31","11439"
"2","170","11","7","615","NADD AL SHIBA SECOND","307","2024-12-31","2613"
"14","22143","100","1","133","HOR AL ANZ EAST","367","2024-12-31","22143"
"2","1","0","2","267","MUHAISANAH FIFTH","2","2024-12-31","2"
"3","416","67","153","841","MARGHAM","133","2024-12-31","1230"
"5","8143","100","0","112","AL RAS","430","2024-12-31","8143"
"32","16281","100","4","368","AL QOUZ IND.THIRD","549","2024-12-31","17526"
"12","9054","84","3","342","JUMEIRA SECOND","1385","2024-12-31","10876"
"18","20182","62","9","682","AL HEBIAH FOURTH","1355","2024-12-31","21842"
"0","1","0","100","101","NAKHLAT DEIRA","8","2024-12-31","2"
"0","1743","54","1","213","NADD SHAMMA","217","2024-12-31","3378"
"0","299","65","62","831","LEHBAB SECOND","146","2024-12-31","1617"
"8","13684","71","2","359","AL QOUZ FOURTH","550","2024-12-31","21942"
"0","10806","39","19","533","SAIH SHUAIB 4","115","2024-12-31","10806"
"0","15","0","31","821","MEREIYEEL","28","2024-12-31","425"
"4","2","40","92","941","GRAYTEESAH","149","2024-12-31","58"
"0","0","0","74","303","WORLD ISLANDS","3","2024-12-31","7"
"0","0","0","5","355","AL QOUZ SECOND","1065","2024-12-31","5655"
"0","38","59","42","845","AL MAHA","70","2024-12-31","206"
"1","2","0","8","413","RAS AL KHOR","4","2024-12-31","2"
"2","124","0","39","631","HADAEQ SHEIKH MOHAMMED BIN RASHID","3684","2024-12-31","4692"
"1","218","0","365","593","JABAL ALI THIRD","6","2024-12-31","218"
"5","57","0","2","611","BU KADRA","2","2024-12-31","113"
"11","1861","45","6","372","AL SAFOUH FIRST","470","2024-12-31","4779"
"16","5682","0","142","521","MADINAT AL MATAAR","2054","2024-12-31","5885"
"8","60944","88","9","392","MARSA DUBAI","290","2024-12-31","63804"
"1","9356","6","8","665","WADI AL SAFA 7","3850","2024-12-31","9358"
"20","26310","97","2","421","AL WARQA'A FIRST","272","2024-12-31","26803"
"7","5107","99","1","227","AL TWAR SECOND","403","2024-12-31","5184"
"14","13216","100","5","375","AL BARSHA THIRD","1798","2024-12-31","15716"
"64","9499","89","35","594","MENA JABAL ALI","1723","2024-12-31","9527"
"2","4291","100","0","115","AL SABKHA","111","2024-12-31","4291"
"28","21188","98","10","332","JUMEIRA FIRST","2384","2024-12-31","21914"
"5","3640","63","2","367","UMM AL SHEIF","614","2024-12-31","4715"
"15","9209","50","7","262","AL MIZHAR FIRST","2062","2024-12-31","17898"
"11","6868","100","2","243","AL QUSAIS IND. SECOND","157","2024-12-31","9627"
"9","1882","31","11","643","WADI AL SAFA 2","737","2024-12-31","11010"
"10","18876","35","16","648","WADI AL SAFA 5","1948","2024-12-31","20704"
"4","5981","75","2","357","AL SAFA SECOND","952","2024-12-31","7207"
"11","1468","92","3","612","RAS AL KHOR IND. FIRST","286","2024-12-31","2176"
"7","0","0","52","512","HESSYAN SECOND","16","2024-12-31","10418"
"0","1011","0","5","592","JABAL ALI SECOND","17","2024-12-31","1011"
"14","12699","90","22","531","SAIH SHUAIB 2","456","2024-12-31","12699"
"2","0","0","71","967","GHADEER BARASHY","9","2024-12-31","29"
"14","28986","51","11","394","AL THANYAH  FOURTH","7553","2024-12-31","28990"
"17","49633","100","2","358","AL QOUZ THIRD","143","2024-12-31","50697"
"4","5232","89","1","268","OUD AL MUTEENA THIRD","617","2024-12-31","7222"
"2","1129","15","4","325","ZAA'BEEL FIRST","293","2024-12-31","3519"
"36","23177","96","7","346","BUSINESS BAY","198","2024-12-31","24410"
"0","2008","50","4","916","AL YUFRAH 2","162","2024-12-31","2008"
"15","2347","85","13","282","AL KHWANEEJ SECOND","1596","2024-12-31","6031"
"0","106","100","141","945","AL FAGAA","76","2024-12-31","447"
"3","1","100","10","252","MUSHRAIF","68","2024-12-31","81"
"19","37413","95","2","317","MANKHOOL","616","2024-12-31","42056"
"13","1436","21","55","721","AL AWIR SECOND","536","2024-12-31","6060"
"1","7","0","0","311","AL SHINDAGHA","21","2024-12-31","7"
"36","53055","100","1","312","AL SOUQ AL KABEER","856","2024-12-31","53055"
"15","2042","100","1","128","AL KHABAISI","473","2024-12-31","2042"
"2","12","0","27","917","AL MARMOOM","37","2024-12-31","143"
"21","2612","100","1","111","AL CORNICHE","46","2024-12-31","2670"
"5","40456","100","0","117","AL MURAR","573","2024-12-31","40456"
