operator_name,fleet_size,load_timestamp,report_date,operator_type
"National Taxi","1734","2023-09-22 09:24:20","2023-01-31","Franchisee"
"Arabia Taxi","1607","2025-05-15 16:52:14","2025-02-28","Franchisee"
"City Taxi","35","2020-02-03 16:18:23","2019-11-30","Franchisee"
"metro taxi ","693","2022-05-09 23:27:05","2022-03-31","Franchisee"
"Arabia Taxi","1528","2025-02-05 19:08:58","2024-12-31","Franchisee"
"Cars Taxi","2905","2023-11-29 17:47:27","2023-08-31","Franchisee"
"Arabia Taxi","1029","2022-01-31 19:52:58","2021-12-31","Franchisee"
"Hala Cars Taxi","155","2020-02-03 16:18:28","2019-09-30","Franchisee"
"metro taxi ","713","2024-03-08 15:28:13","2024-01-31","Franchisee"
"Cars Taxi","1790","2021-05-10 20:07:53","2021-02-28","Franchisee"
"Arabia Taxi","1528","2023-09-25 20:10:53","2023-05-31","Franchisee"
"Arabia Taxi","1028","2022-05-09 23:27:05","2022-03-31","Franchisee"
"National Taxi","1823","2024-09-02 20:43:52","2024-07-31","Franchisee"
"metro taxi ","756","2024-12-02 20:31:07","2024-10-31","Franchisee"
"metro taxi ","713","2023-11-29 17:47:27","2023-08-31","Franchisee"
"National Taxi","1735","2020-07-01 18:37:42","2020-03-31","Franchisee"
"One Road Taxi","75","2020-02-03 16:18:24","2019-10-31","Franchisee"
"Cars Taxi","2905","2024-07-01 20:05:15","2024-05-31","Franchisee"
"Arabia Taxi","1607","2023-11-29 17:47:27","2023-08-31","Franchisee"
"Cars Taxi","2182","2020-09-21 19:53:29","2020-06-30","Franchisee"
"Cars Taxi","3205","2025-02-05 19:08:58","2024-12-31","Franchisee"
"Cars Taxi","2180","2022-03-07 23:49:36","2022-01-31","Franchisee"
"City Taxi","35","2020-08-05 14:09:24","2020-06-30","Franchisee"
"Metro Taxi","756","2021-02-01 22:40:28","2020-12-31","Franchisee"
"National Taxi","1735","2021-02-01 22:40:28","2020-12-31","Franchisee"
"City Taxi","0","2021-05-10 20:05:44","2021-01-31","Franchisee"
"Arabia Taxi","928","2020-04-06 15:35:38","2020-02-29","Franchisee"
"Cars Taxi","1790","2021-08-02 20:12:55","2021-04-30","Franchisee"
"One Road Taxi","0","2022-03-07 23:49:36","2022-01-31","Franchisee"
"metro taxi ","713","2023-11-29 17:47:50","2023-09-30","Franchisee"
"DTC - Hala Taxi Dubai","385","2020-02-03 16:18:30","2019-09-23","Dubai Taxi Corporation"
"Cars Taxi","2182","2021-02-01 22:40:28","2020-12-31","Franchisee"
"Arabia Taxi","1029","2021-01-04 20:04:11","2020-11-30","Franchisee"
"National Taxi","1823","2023-09-22 09:30:28","2023-07-31","Franchisee"
"Arabia Taxi","1029","2021-08-02 20:12:55","2021-04-30","Franchisee"
"Cars Taxi","2905","2024-10-28 20:21:48","2024-08-30","Franchisee"
"National Taxi","1734","2022-03-07 23:49:36","2022-01-31","Franchisee"
"National Taxi","1535","2021-08-02 20:12:55","2021-04-30","Franchisee"
"Metro Taxi","756","2020-12-21 20:01:55","2020-10-31","Franchisee"
"Arabia Taxi","1528","2024-02-28 12:02:03","2023-05-31","Franchisee"
"Arabia Taxi","1528","2024-02-28 12:02:03","2023-05-31","Franchisee"
"Metro Taxi","755","2020-07-01 18:37:42","2020-03-31","Franchisee"
"One Road Taxi","0","2023-09-22 09:24:20","2023-01-31","Franchisee"
"Cars Taxi","2430","2023-09-22 09:27:17","2023-03-31","Franchisee"
"One Road Taxi","73","2020-02-03 20:18:25","2019-12-31","Franchisee"
"National Taxi","1734","2024-02-28 12:02:03","2023-05-31","Franchisee"
"National Taxi","1734","2024-02-28 12:02:03","2023-05-31","Franchisee"
"Metro Taxi","754","2020-02-03 16:18:23","2019-11-30","Franchisee"
"Arabia Taxi","1607","2024-07-29 20:52:14","2024-06-30","Franchisee"
"Cars Taxi","3061","2024-12-02 20:31:07","2024-10-31","Franchisee"
"One Road Taxi","0","2023-09-25 20:10:53","2023-05-31","Franchisee"
"Arabia Taxi","1029","2021-05-10 20:05:44","2021-01-31","Franchisee"
"Cars Taxi","2182","2020-12-21 20:01:55","2020-10-31","Franchisee"
"One Road Taxi","0","2022-05-09 23:27:05","2022-03-31","Franchisee"
"National Taxi","1734","2023-09-22 09:28:44","2023-04-30","Franchisee"
"DTC - Hatta Taxi","3","2020-02-03 16:18:30","2019-09-23","Dubai Taxi Corporation"
"One Road Taxi","0","2023-08-18 13:05:48","2023-05-31","Franchisee"
"National Taxi","1823","2025-05-15 16:54:40","2025-03-31","Franchisee"
"City Taxi","0","2021-05-10 20:07:53","2021-02-28","Franchisee"
"National Taxi","1823","2025-10-10 19:12:41","2025-08-31","Franchisee"
"metro taxi ","756","2024-11-05 17:03:56","2024-09-30","Franchisee"
"Cars Taxi","2181","2020-02-03 16:18:24","2019-10-31","Franchisee"
"One Road Taxi","87","2021-05-10 20:15:16","2021-03-31","Franchisee"
"National Taxi","1734","2020-02-03 16:18:30","2019-09-23","Franchisee"
"Cars Taxi","2905","2024-02-28 12:02:03","2023-12-31","Franchisee"
"Arabia Taxi","927","2020-02-03 16:18:28","2019-09-30","Franchisee"
"One Road Taxi","0","2023-11-29 17:47:27","2023-08-31","Franchisee"
"DTC - Airport Taxi - DXB","340","2020-02-03 16:18:30","2019-09-23","Dubai Taxi Corporation"
"Metro Taxi","754","2020-02-03 16:18:30","2019-09-23","Franchisee"
"DTC - Ladies Taxi","75","2020-02-03 16:18:30","2019-09-23","Dubai Taxi Corporation"
"Arabia Taxi","1029","2020-09-21 19:53:29","2020-06-30","Franchisee"
"National Taxi","1734","2022-01-31 19:52:58","2021-12-31","Franchisee"
"National Taxi","1535","2021-05-10 20:05:44","2021-01-31","Franchisee"
"metro taxi ","713","2024-02-28 12:02:03","2023-12-31","Franchisee"
"Cars Taxi","2352","2023-09-22 09:25:47","2023-02-28","Franchisee"
"City Taxi","35","2020-02-03 16:18:28","2019-09-30","Franchisee"
"metro taxi ","713","2023-09-22 09:30:28","2023-07-31","Franchisee"
"City Taxi","35","2020-02-03 16:18:30","2019-09-23","Franchisee"
"One Road Taxi","0","2021-08-04 16:33:38","2021-06-30","Franchisee"
"Cars Taxi","2182","2021-01-04 20:04:11","2020-11-30","Franchisee"
"National Taxi","1734","2023-09-22 09:25:47","2023-02-28","Franchisee"
"metro taxi ","754","2025-06-02 22:44:13","2025-04-30","Franchisee"
"Arabia Taxi","1607","2025-08-04 19:41:02","2025-06-30","Franchisee"
"City Taxi","35","2020-02-03 16:18:24","2019-10-31","Franchisee"
"One Road Taxi","100","2020-11-16 20:13:52","2020-09-30","Franchisee"
"Cars Taxi","3205","2025-05-15 16:52:14","2025-02-28","Franchisee"
"Cars Taxi","2430","2023-09-22 09:28:44","2023-04-30","Franchisee"
"National Taxi","1823","2025-05-15 16:52:14","2025-02-28","Franchisee"
"Arabia Taxi","928","2020-02-03 16:18:23","2019-11-30","Franchisee"
"National Taxi","1735","2020-11-16 20:13:52","2020-09-30","Franchisee"
"City Taxi","35","2020-05-06 09:42:36","2020-03-31","Franchisee"
"Arabia Taxi","1029","2020-07-01 18:37:42","2020-03-31","Franchisee"
"Arabia Taxi","1607","2024-09-02 20:43:52","2024-07-31","Franchisee"
"Cars Taxi","2905","2024-09-02 20:43:52","2024-07-31","Franchisee"
"One Road Taxi","0","2021-10-21 00:51:51","2021-08-31","Franchisee"
"Cars Taxi","3510","2025-10-10 19:12:41","2025-08-31","Franchisee"
"Cars Taxi","2180","2022-01-31 19:52:58","2021-12-31","Franchisee"
"Arabia Taxi","1029","2021-08-02 20:14:51","2021-05-31","Franchisee"
"City Taxi","0","2021-05-10 20:15:16","2021-03-31","Franchisee"
"Cars Taxi","2181","2020-05-06 09:42:36","2020-03-31","Franchisee"
"Cars Taxi","1946","2021-11-01 20:50:31","2021-09-30","Franchisee"
"Arabia Taxi","1029","2021-11-01 20:50:31","2021-09-30","Franchisee"
"metro taxi ","619","2021-10-21 00:51:51","2021-08-31","Franchisee"
"One Road Taxi","0","2023-09-22 09:28:44","2023-04-30","Franchisee"
"Arabia Taxi","1607","2025-09-15 19:59:58","2025-07-31","Franchisee"
"One Road Taxi","0","2021-08-02 20:14:51","2021-05-31","Franchisee"
"Arabia Taxi","1607","2025-06-02 22:44:13","2025-04-30","Franchisee"
"DTC - Normal Taxi","4241","2020-02-03 16:18:30","2019-09-23","Dubai Taxi Corporation"
"DTC - Special Needs Taxi","10","2020-02-03 16:18:30","2019-09-23","Dubai Taxi Corporation"
"Arabia Taxi","1029","2020-10-19 20:07:29","2020-08-31","Franchisee"
"One Road Taxi","0","2021-08-30 22:38:46","2021-07-31","Franchisee"
"Cars Taxi","1790","2021-08-30 22:38:46","2021-07-31","Franchisee"
"metro taxi ","693","2022-01-31 19:52:58","2021-12-31","Franchisee"
"Arabia Taxi","1607","2025-10-10 19:12:41","2025-08-31","Franchisee"
"Cars Taxi","2905","2024-07-29 20:52:14","2024-06-30","Franchisee"
"Cars Taxi","2905","2024-06-03 20:30:01","2024-04-30","Franchisee"
"National Taxi","1535","2021-10-21 00:51:51","2021-08-31","Franchisee"
"Metro Taxi","754","2020-02-03 16:18:28","2019-09-30","Franchisee"
"National Taxi","1535","2021-08-30 22:38:46","2021-07-31","Franchisee"
"National Taxi","1734","2020-02-03 20:18:25","2019-12-31","Franchisee"
"Cars Taxi","2182","2020-07-01 18:37:42","2020-03-31","Franchisee"
"National Taxi","1615","2021-11-01 20:50:31","2021-09-30","Franchisee"
"metro taxi ","713","2023-09-22 09:28:44","2023-04-30","Franchisee"
"Cars Taxi","2430","2023-09-25 20:10:53","2023-05-31","Franchisee"
"National Taxi","1823","2024-11-05 17:03:56","2024-09-30","Franchisee"
"City Taxi","0","2021-08-04 16:33:38","2021-06-30","Franchisee"
"Arabia Taxi","1607","2024-02-28 12:02:03","2023-12-31","Franchisee"
"Metro Taxi","619","2021-05-10 20:07:53","2021-02-28","Franchisee"
"One Road Taxi","87","2021-08-02 20:12:55","2021-04-30","Franchisee"
"One Road Taxi","75","2020-02-03 16:18:23","2019-11-30","Franchisee"
"Metro Taxi","619","2021-05-10 20:15:16","2021-03-31","Franchisee"
"Hala Cars Taxi","155","2020-02-03 16:18:30","2019-09-23","Franchisee"
"Arabia Taxi","928","2020-02-03 20:18:25","2019-12-31","Franchisee"
"Cars Taxi","2182","2020-10-19 20:07:29","2020-08-31","Franchisee"
"Arabia Taxi","1528","2023-09-22 09:24:20","2023-01-31","Franchisee"
"National Taxi","1735","2020-09-21 19:53:29","2020-06-30","Franchisee"
"Arabia Taxi","1607","2023-11-29 17:47:50","2023-09-30","Franchisee"
"National Taxi","1735","2021-01-04 20:04:11","2020-11-30","Franchisee"
"metro taxi ","756","2024-10-28 20:21:48","2024-08-30","Franchisee"
"National Taxi","1734","2022-05-09 23:27:05","2022-03-31","Franchisee"
"National Taxi","1823","2023-11-29 17:47:50","2023-09-30","Franchisee"
"Arabia Taxi","1528","2023-08-18 13:05:48","2023-05-31","Franchisee"
"Cars Taxi","2180","2022-05-09 23:27:05","2022-03-31","Franchisee"
"National Taxi","1734","2020-02-03 16:18:23","2019-11-30","Franchisee"
"metro taxi ","619","2021-08-02 20:12:55","2021-04-30","Franchisee"
"Arabia Taxi","1029","2022-01-10 13:26:59","2021-11-30","Franchisee"
"City Taxi","0","2021-02-01 22:40:28","2020-12-31","Franchisee"
"National Taxi","1823","2024-10-28 20:21:48","2024-08-30","Franchisee"
"metro taxi ","754","2025-09-15 19:59:58","2025-07-31","Franchisee"
"Metro Taxi","754","2020-05-06 09:42:36","2020-03-31","Franchisee"
"One Road Taxi","71","2020-02-03 16:18:30","2019-09-23","Franchisee"
"Cars Taxi","3205","2025-07-09 10:17:16","2025-05-31","Franchisee"
"One Road Taxi","75","2020-02-03 16:18:28","2019-09-30","Franchisee"
"One Road Taxi","0","2023-09-22 09:25:47","2023-02-28","Franchisee"
"National Taxi","1823","2023-11-29 17:47:27","2023-08-31","Franchisee"
"National Taxi","1823","2025-06-02 22:44:13","2025-04-30","Franchisee"
"City Taxi","35","2020-07-01 18:37:42","2020-03-31","Franchisee"
"Metro Taxi","754","2020-02-03 20:18:25","2019-12-31","Franchisee"
"Arabia Taxi","927","2020-02-03 16:18:30","2019-09-23","Franchisee"
"Cars Taxi","3205","2025-06-02 22:44:13","2025-04-30","Franchisee"
"Cars Taxi","2181","2020-04-06 15:35:38","2020-02-29","Franchisee"
"One Road Taxi","0","2023-09-22 09:27:17","2023-03-31","Franchisee"
"National Taxi","1823","2024-02-28 12:02:03","2023-12-31","Franchisee"
"Cars Taxi","3417","2025-09-15 19:59:58","2025-07-31","Franchisee"
"Arabia Taxi","1607","2024-07-01 20:05:15","2024-05-31","Franchisee"
"Arabia Taxi","1607","2024-06-03 20:30:01","2024-04-30","Franchisee"
"Cars Taxi","1790","2021-05-10 20:15:16","2021-03-31","Franchisee"
"Metro Taxi","619","2021-05-10 20:05:44","2021-01-31","Franchisee"
"Cars Taxi","2025","2020-02-03 16:18:30","2019-09-23","Franchisee"
"One Road Taxi","100","2020-07-01 18:37:42","2020-03-31","Franchisee"
"National Taxi","1823","2025-08-04 19:41:02","2025-06-30","Franchisee"
"Arabia Taxi","1029","2021-05-10 20:07:53","2021-02-28","Franchisee"
"National Taxi","1823","2025-09-15 19:59:58","2025-07-31","Franchisee"
"Cars Taxi","3205","2025-01-15 20:45:10","2024-11-30","Franchisee"
"Arabia Taxi","1528","2023-09-22 09:28:44","2023-04-30","Franchisee"
"Cars Taxi","2905","2024-11-05 17:03:56","2024-09-30","Franchisee"
"Cars Taxi","2905","2023-11-29 17:47:50","2023-09-30","Franchisee"
"metro taxi ","754","2025-01-15 20:45:10","2024-11-30","Franchisee"
"Cars Taxi","2430","2023-08-18 13:05:48","2023-05-31","Franchisee"
"metro taxi ","713","2023-09-22 09:25:47","2023-02-28","Franchisee"
"National Taxi","1535","2021-08-04 16:33:38","2021-06-30","Franchisee"
"Arabia Taxi","1029","2021-02-01 22:40:28","2020-12-31","Franchisee"
"Cars Taxi","2905","2023-09-22 09:30:28","2023-07-31","Franchisee"
"One Road Taxi","0","2022-01-31 19:52:58","2021-12-31","Franchisee"
"National Taxi","1823","2024-12-02 20:31:07","2024-10-31","Franchisee"
"City Taxi","0","2020-12-21 20:01:55","2020-10-31","Franchisee"
"metro taxi ","619","2021-08-30 22:38:46","2021-07-31","Franchisee"
"Arabia Taxi","1607","2024-03-08 15:28:13","2024-01-31","Franchisee"
"One Road Taxi","0","2022-01-10 13:26:59","2021-11-30","Franchisee"
"metro taxi ","693","2022-03-07 23:49:36","2022-01-31","Franchisee"
"City Taxi","0","2021-01-04 20:04:11","2020-11-30","Franchisee"
"City Taxi","35","2020-02-03 20:18:25","2019-12-31","Franchisee"
"Cars Taxi","2182","2020-08-05 14:09:24","2020-06-30","Franchisee"
"One Road Taxi","100","2021-02-01 22:40:28","2020-12-31","Franchisee"
"Arabia Taxi","1607","2024-11-05 17:03:56","2024-09-30","Franchisee"
"Metro Taxi","755","2020-08-05 14:09:24","2020-06-30","Franchisee"
"Metro Taxi","755","2020-09-21 19:53:29","2020-06-30","Franchisee"
"Arabia Taxi","1607","2023-09-22 09:30:28","2023-07-31","Franchisee"
"Arabia Taxi","1029","2020-11-16 20:13:52","2020-09-30","Franchisee"
"metro taxi ","754","2025-03-13 02:11:19","2025-01-31","Franchisee"
"One Road Taxi","0","2021-11-01 20:50:31","2021-09-30","Franchisee"
"Arabia Taxi","1029","2022-01-07 14:13:49","2021-10-31","Franchisee"
"Cars Taxi","2430","2024-02-28 12:02:03","2023-05-31","Franchisee"
"Cars Taxi","2430","2024-02-28 12:02:03","2023-05-31","Franchisee"
"National Taxi","1823","2025-07-09 10:17:16","2025-05-31","Franchisee"
"National Taxi","1823","2024-07-01 20:05:15","2024-05-31","Franchisee"
"metro taxi ","754","2025-07-09 10:17:16","2025-05-31","Franchisee"
"One Road Taxi","100","2020-12-21 20:01:55","2020-10-31","Franchisee"
"Cars Taxi","2181","2020-02-03 20:18:25","2019-12-31","Franchisee"
"National Taxi","1734","2020-05-06 09:42:36","2020-03-31","Franchisee"
"One Road Taxi","100","2020-05-06 09:42:36","2020-03-31","Franchisee"
"metro taxi ","619","2021-08-02 20:14:51","2021-05-31","Franchisee"
"National Taxi","1823","2024-06-03 20:30:01","2024-04-30","Franchisee"
"metro taxi ","667","2022-01-07 14:13:49","2021-10-31","Franchisee"
"Cars Taxi","2180","2023-09-22 09:24:20","2023-01-31","Franchisee"
"metro taxi ","713","2023-09-22 09:24:20","2023-01-31","Franchisee"
"Arabia Taxi","1029","2020-12-21 20:01:55","2020-10-31","Franchisee"
"Arabia Taxi","1607","2025-03-13 02:11:19","2025-01-31","Franchisee"
"metro taxi ","713","2023-08-18 13:05:48","2023-05-31","Franchisee"
"Cars Taxi","3205","2025-08-04 19:41:02","2025-06-30","Franchisee"
"Arabia Taxi","1607","2024-04-29 20:05:19","2024-03-31","Franchisee"
"National Taxi","1823","2024-03-08 15:28:13","2024-01-31","Franchisee"
"Cars Taxi","2182","2020-11-16 20:13:52","2020-09-30","Franchisee"
"National Taxi","1734","2020-04-06 15:35:38","2020-02-29","Franchisee"
"One Road Taxi","100","2020-09-21 19:53:29","2020-06-30","Franchisee"
"Cars Taxi","3205","2025-03-13 02:11:19","2025-01-31","Franchisee"
"Arabia Taxi","1029","2021-08-04 16:33:38","2021-06-30","Franchisee"
"Arabia Taxi","1023","2020-05-06 09:42:36","2020-03-31","Franchisee"
"Arabia Taxi","1029","2021-05-10 20:15:16","2021-03-31","Franchisee"
"Arabia Taxi","1029","2021-08-30 22:38:46","2021-07-31","Franchisee"
"City Taxi","35","2020-09-21 19:53:29","2020-06-30","Franchisee"
"National Taxi","1735","2020-08-05 14:09:24","2020-06-30","Franchisee"
"Arabia Taxi","1028","2022-03-07 23:49:36","2022-01-31","Franchisee"
"Cars Taxi","2181","2020-02-03 16:18:23","2019-11-30","Franchisee"
"metro taxi ","754","2025-08-04 19:41:02","2025-06-30","Franchisee"
"Arabia Taxi","1607","2025-01-15 20:45:10","2024-11-30","Franchisee"
"One Road Taxi","99","2020-04-06 15:35:38","2020-02-29","Franchisee"
"City Taxi","35","2020-10-19 20:07:29","2020-08-31","Franchisee"
"National Taxi","1733","2022-01-10 13:26:59","2021-11-30","Franchisee"
"Arabia Taxi","1029","2020-08-05 14:09:24","2020-06-30","Franchisee"
"Metro Taxi","619","2021-08-04 16:33:38","2021-06-30","Franchisee"
"One Road Taxi","87","2021-05-10 20:05:44","2021-01-31","Franchisee"
"Cars Taxi","2905","2024-04-29 20:05:19","2024-03-31","Franchisee"
"One Road Taxi","0","2024-02-28 12:02:03","2023-05-31","Franchisee"
"One Road Taxi","0","2024-02-28 12:02:03","2023-05-31","Franchisee"
"metro taxi ","713","2023-09-25 20:10:53","2023-05-31","Franchisee"
"metro taxi ","652","2021-11-01 20:50:31","2021-09-30","Franchisee"
"Metro Taxi","754","2020-02-03 16:18:24","2019-10-31","Franchisee"
"National Taxi","1734","2020-02-03 16:18:24","2019-10-31","Franchisee"
"One Road Taxi","100","2021-01-04 20:04:11","2020-11-30","Franchisee"
"Arabia Taxi","1528","2023-09-22 09:25:47","2023-02-28","Franchisee"
"Cars Taxi","1790","2021-08-02 20:14:51","2021-05-31","Franchisee"
"Cars Taxi","1790","2021-10-21 00:51:51","2021-08-31","Franchisee"
"National Taxi","1623","2022-01-07 14:13:49","2021-10-31","Franchisee"
"National Taxi","1734","2023-09-25 20:10:53","2023-05-31","Franchisee"
"Arabia Taxi","1029","2021-10-21 00:51:51","2021-08-31","Franchisee"
"metro taxi ","754","2025-02-05 19:08:58","2024-12-31","Franchisee"
"One Road Taxi","100","2020-08-05 14:09:24","2020-06-30","Franchisee"
"Cars Taxi","2180","2022-01-10 13:26:59","2021-11-30","Franchisee"
"Metro Taxi","754","2020-04-06 15:35:38","2020-02-29","Franchisee"
"Arabia Taxi","1607","2024-12-02 20:31:07","2024-10-31","Franchisee"
