date,hour,day_of_week,is_weekend,intersection_id,intersection_name,vehicle_count,avg_speed_kmh,avg_wait_time_sec,congestion_level,queue_length_ns,queue_length_ew
2025-01-01,21,Wednesday,False,INT-01,Al Rigga - Salahuddin,374,39.3,51.7,0.389,42,43
2025-01-01,22,Wednesday,False,INT-01,Al Rigga - Salahuddin,300,42.4,39.2,0.312,27,28
2025-01-01,23,Wednesday,False,INT-01,Al Rigga - Salahuddin,160,53.3,12.5,0.166,6,9
2025-01-01,0,Wednesday,False,INT-02,Deira City Centre,109,50.4,20.3,0.1,7,1
2025-01-01,1,Wednesday,False,INT-02,Deira City Centre,66,57.0,3.7,0.061,0,1
2025-01-01,2,Wednesday,False,INT-02,Deira City Centre,45,59.2,0.0,0.041,3,0
2025-01-01,3,Wednesday,False,INT-02,Deira City Centre,43,60.3,0.0,0.04,0,3
2025-01-01,4,Wednesday,False,INT-02,Deira City Centre,34,58.9,7.1,0.031,1,0
2025-01-01,5,Wednesday,False,INT-02,Deira City Centre,58,58.7,10.6,0.053,1,1
2025-01-01,6,Wednesday,False,INT-02,Deira City Centre,162,52.7,24.4,0.149,5,10
2025-01-01,7,Wednesday,False,INT-02,Deira City Centre,534,29.9,77.2,0.491,76,80
2025-01-01,8,Wednesday,False,INT-02,Deira City Centre,904,12.7,129.2,0.831,226,226
2025-01-01,9,Wednesday,False,INT-02,Deira City Centre,815,18.8,100.3,0.749,181,181
2025-01-01,10,Wednesday,False,INT-02,Deira City Centre,493,36.6,68.0,0.453,68,67
2025-01-01,11,Wednesday,False,INT-02,Deira City Centre,552,31.8,100.2,0.507,85,82
2025-01-01,12,Wednesday,False,INT-02,Deira City Centre,456,38.8,58.1,0.419,58,58
2025-01-01,13,Wednesday,False,INT-02,Deira City Centre,583,28.5,62.0,0.536,92,95
2025-01-01,14,Wednesday,False,INT-02,Deira City Centre,514,30.8,69.7,0.472,73,71
2025-01-01,15,Wednesday,False,INT-02,Deira City Centre,463,37.2,49.8,0.425,59,60
2025-01-01,16,Wednesday,False,INT-02,Deira City Centre,632,31.8,69.8,0.581,108,111
2025-01-01,17,Wednesday,False,INT-02,Deira City Centre,781,22.8,141.9,0.718,169,170
2025-01-01,18,Wednesday,False,INT-02,Deira City Centre,933,15.7,120.3,0.857,241,238
2025-01-01,19,Wednesday,False,INT-02,Deira City Centre,743,21.7,99.1,0.683,156,148
2025-01-01,20,Wednesday,False,INT-02,Deira City Centre,700,20.4,87.9,0.643,137,135
2025-01-01,21,Wednesday,False,INT-02,Deira City Centre,418,37.1,62.1,0.384,46,48
2025-01-01,22,Wednesday,False,INT-02,Deira City Centre,319,42.2,63.6,0.293,29,23
2025-01-01,23,Wednesday,False,INT-02,Deira City Centre,186,48.8,33.1,0.171,7,9
2025-01-01,0,Wednesday,False,INT-03,Al Maktoum Bridge,95,61.0,7.2,0.073,1,2
2025-01-01,1,Wednesday,False,INT-03,Al Maktoum Bridge,65,60.1,19.9,0.05,1,4
2025-01-01,2,Wednesday,False,INT-03,Al Maktoum Bridge,51,63.4,0.0,0.039,0,0
2025-01-01,3,Wednesday,False,INT-03,Al Maktoum Bridge,69,57.1,0.0,0.053,0,0
2025-01-01,4,Wednesday,False,INT-03,Al Maktoum Bridge,37,54.6,19.5,0.029,2,0
2025-01-01,5,Wednesday,False,INT-03,Al Maktoum Bridge,80,56.8,32.4,0.062,2,3
2025-01-01,6,Wednesday,False,INT-03,Al Maktoum Bridge,209,51.5,29.7,0.161,10,6
2025-01-01,7,Wednesday,False,INT-03,Al Maktoum Bridge,707,28.7,99.7,0.546,117,115
2025-01-01,8,Wednesday,False,INT-03,Al Maktoum Bridge,977,18.9,103.8,0.755,221,222
2025-01-01,9,Wednesday,False,INT-03,Al Maktoum Bridge,702,28.9,74.5,0.542,116,117
2025-01-01,10,Wednesday,False,INT-03,Al Maktoum Bridge,625,35.7,63.2,0.483,92,91
2025-01-01,11,Wednesday,False,INT-03,Al Maktoum Bridge,482,34.5,41.4,0.372,52,56
2025-01-01,12,Wednesday,False,INT-03,Al Maktoum Bridge,798,25.4,84.7,0.616,148,147
2025-01-01,13,Wednesday,False,INT-03,Al Maktoum Bridge,799,25.1,98.4,0.617,147,149
2025-01-01,14,Wednesday,False,INT-03,Al Maktoum Bridge,569,34.4,82.4,0.439,77,71
2025-01-01,15,Wednesday,False,INT-03,Al Maktoum Bridge,503,42.6,44.0,0.388,60,59
2025-01-01,16,Wednesday,False,INT-03,Al Maktoum Bridge,579,35.8,43.5,0.447,81,77
2025-01-01,17,Wednesday,False,INT-03,Al Maktoum Bridge,967,21.5,121.1,0.747,215,217
2025-01-01,18,Wednesday,False,INT-03,Al Maktoum Bridge,1052,18.7,128.5,0.812,255,255
2025-01-01,19,Wednesday,False,INT-03,Al Maktoum Bridge,1104,7.8,138.5,0.853,281,282
2025-01-01,20,Wednesday,False,INT-03,Al Maktoum Bridge,677,31.6,88.0,0.523,107,107
2025-01-01,21,Wednesday,False,INT-03,Al Maktoum Bridge,601,30.6,58.4,0.464,83,84
2025-01-01,22,Wednesday,False,INT-03,Al Maktoum Bridge,381,47.1,47.1,0.294,33,38
2025-01-01,23,Wednesday,False,INT-03,Al Maktoum Bridge,228,49.2,44.0,0.176,14,15
2025-01-01,0,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,118,55.9,3.8,0.087,2,1
2025-01-01,1,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,83,53.1,24.7,0.061,0,0
2025-01-01,2,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,54,55.5,0.8,0.04,0,0
2025-01-01,3,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,42,53.8,11.3,0.031,0,1
2025-01-01,4,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,62,58.0,0.0,0.046,1,3
2025-01-01,5,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,83,57.7,8.7,0.061,4,0
2025-01-01,6,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,263,48.4,21.1,0.195,15,16
2025-01-01,7,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,796,29.1,86.8,0.59,143,142
2025-01-01,8,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,863,29.5,84.7,0.639,164,163
2025-01-01,9,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,676,34.0,69.5,0.501,94,101
2025-01-01,10,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,570,39.9,55.2,0.422,77,74
2025-01-01,11,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,529,42.3,61.7,0.392,62,63
2025-01-01,12,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,680,33.5,80.8,0.504,106,103
2025-01-01,13,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,681,26.7,92.3,0.504,102,104
2025-01-01,14,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,795,28.9,82.9,0.589,143,141
2025-01-01,15,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,611,31.0,77.2,0.453,83,80
2025-01-01,16,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,724,24.9,100.6,0.536,114,119
2025-01-01,17,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,790,30.1,75.1,0.585,140,138
2025-01-01,18,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,1083,16.7,101.9,0.802,261,259
2025-01-01,19,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,1106,15.1,117.2,0.819,275,276
2025-01-01,20,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,880,23.9,90.1,0.652,170,170
2025-01-01,21,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,593,42.2,61.3,0.439,75,78
2025-01-01,22,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,404,43.9,51.1,0.299,36,37
2025-01-01,23,Wednesday,False,INT-04,Bur Dubai - Khalid Bin Waleed,198,57.4,23.6,0.147,9,7
2025-01-01,0,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,183,56.8,16.3,0.122,4,3
2025-01-01,1,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,103,54.0,0.0,0.069,0,0
2025-01-01,2,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,94,59.3,8.9,0.063,4,1
2025-01-01,3,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,54,62.6,10.6,0.036,0,0
2025-01-01,4,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,54,53.9,14.4,0.036,4,0
2025-01-01,5,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,108,54.2,5.5,0.072,1,0
2025-01-01,6,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,252,48.4,26.9,0.168,12,12
2025-01-01,7,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,594,36.9,64.5,0.395,71,68
2025-01-01,8,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,1080,23.4,86.8,0.719,233,231
2025-01-01,9,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,951,23.5,73.1,0.633,177,180
2025-01-01,10,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,715,31.6,74.9,0.476,98,101
2025-01-01,11,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,512,39.6,49.5,0.341,50,51
2025-01-01,12,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,864,27.2,91.2,0.575,146,150
2025-01-01,13,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,989,17.0,86.8,0.658,196,194
2025-01-01,14,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,726,32.1,70.5,0.483,104,107
2025-01-01,15,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,649,37.7,58.1,0.432,83,83
2025-01-01,16,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,795,30.2,79.1,0.529,130,127
2025-01-01,17,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,952,29.4,87.2,0.634,176,178
2025-01-01,18,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,810,29.8,77.8,0.539,134,131
2025-01-01,19,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,1029,25.5,76.5,0.685,211,212
2025-01-01,20,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,682,38.9,68.8,0.454,92,94
2025-01-01,21,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,923,27.4,90.9,0.614,169,168
2025-01-01,22,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,492,39.7,47.9,0.327,47,49
2025-01-01,23,Wednesday,False,INT-05,Sheikh Zayed Rd - Interchange 1,262,53.7,20.0,0.174,13,11
2025-01-01,0,Wednesday,False,INT-06,DIFC - Gate Avenue,116,65.1,24.2,0.07,1,2
2025-01-01,1,Wednesday,False,INT-06,DIFC - Gate Avenue,108,61.6,14.6,0.065,4,2
2025-01-01,2,Wednesday,False,INT-06,DIFC - Gate Avenue,81,58.3,3.0,0.049,0,2
2025-01-01,3,Wednesday,False,INT-06,DIFC - Gate Avenue,53,57.5,0.2,0.032,1,3
2025-01-01,4,Wednesday,False,INT-06,DIFC - Gate Avenue,81,59.4,0.8,0.049,0,0
2025-01-01,5,Wednesday,False,INT-06,DIFC - Gate Avenue,102,55.5,4.6,0.062,0,3
2025-01-01,6,Wednesday,False,INT-06,DIFC - Gate Avenue,232,50.2,4.4,0.14,12,8
2025-01-01,7,Wednesday,False,INT-06,DIFC - Gate Avenue,833,34.2,85.7,0.504,125,123
2025-01-01,8,Wednesday,False,INT-06,DIFC - Gate Avenue,897,22.4,79.7,0.542,147,146
2025-01-01,9,Wednesday,False,INT-06,DIFC - Gate Avenue,743,38.9,57.7,0.449,98,98
2025-01-01,10,Wednesday,False,INT-06,DIFC - Gate Avenue,766,30.5,66.3,0.463,107,108
2025-01-01,11,Wednesday,False,INT-06,DIFC - Gate Avenue,707,32.9,63.1,0.428,88,88
2025-01-01,12,Wednesday,False,INT-06,DIFC - Gate Avenue,657,32.8,51.5,0.397,80,82
2025-01-01,13,Wednesday,False,INT-06,DIFC - Gate Avenue,818,36.5,67.3,0.495,118,122
2025-01-01,14,Wednesday,False,INT-06,DIFC - Gate Avenue,784,39.9,52.9,0.474,117,114
2025-01-01,15,Wednesday,False,INT-06,DIFC - Gate Avenue,687,36.7,52.7,0.415,85,85
2025-01-01,16,Wednesday,False,INT-06,DIFC - Gate Avenue,890,30.1,91.7,0.538,143,143
2025-01-01,17,Wednesday,False,INT-06,DIFC - Gate Avenue,1271,13.6,114.1,0.769,293,290
2025-01-01,18,Wednesday,False,INT-06,DIFC - Gate Avenue,922,32.9,89.9,0.558,154,157
2025-01-01,19,Wednesday,False,INT-06,DIFC - Gate Avenue,1248,23.0,112.9,0.755,282,280
2025-01-01,20,Wednesday,False,INT-06,DIFC - Gate Avenue,877,30.6,90.0,0.53,141,140
2025-01-01,21,Wednesday,False,INT-06,DIFC - Gate Avenue,856,33.6,77.2,0.518,129,135
2025-01-01,22,Wednesday,False,INT-06,DIFC - Gate Avenue,449,48.6,51.0,0.272,35,38
2025-01-01,23,Wednesday,False,INT-06,DIFC - Gate Avenue,260,50.4,25.2,0.157,12,12
2025-01-01,0,Wednesday,False,INT-07,Business Bay - Marasi Dr,147,59.8,32.9,0.079,4,2
2025-01-01,1,Wednesday,False,INT-07,Business Bay - Marasi Dr,116,52.8,10.0,0.062,0,3
2025-01-01,2,Wednesday,False,INT-07,Business Bay - Marasi Dr,121,58.7,4.6,0.065,3,5
2025-01-01,3,Wednesday,False,INT-07,Business Bay - Marasi Dr,96,54.2,12.5,0.051,1,3
2025-01-01,4,Wednesday,False,INT-07,Business Bay - Marasi Dr,82,50.5,2.8,0.044,1,0
2025-01-01,5,Wednesday,False,INT-07,Business Bay - Marasi Dr,135,51.5,2.4,0.072,5,1
2025-01-01,6,Wednesday,False,INT-07,Business Bay - Marasi Dr,337,45.0,46.8,0.18,17,18
2025-01-01,7,Wednesday,False,INT-07,Business Bay - Marasi Dr,878,36.4,52.5,0.47,123,122
2025-01-01,8,Wednesday,False,INT-07,Business Bay - Marasi Dr,987,34.4,72.6,0.529,157,156
2025-01-01,9,Wednesday,False,INT-07,Business Bay - Marasi Dr,1034,36.0,79.3,0.554,168,170
2025-01-01,10,Wednesday,False,INT-07,Business Bay - Marasi Dr,919,35.0,60.0,0.492,137,132
2025-01-01,11,Wednesday,False,INT-07,Business Bay - Marasi Dr,911,29.7,68.0,0.488,135,133
2025-01-01,12,Wednesday,False,INT-07,Business Bay - Marasi Dr,1047,31.6,93.6,0.561,178,175
2025-01-01,13,Wednesday,False,INT-07,Business Bay - Marasi Dr,1107,23.4,84.8,0.593,198,197
2025-01-01,14,Wednesday,False,INT-07,Business Bay - Marasi Dr,913,33.0,81.7,0.489,133,132
2025-01-01,15,Wednesday,False,INT-07,Business Bay - Marasi Dr,881,30.3,73.0,0.472,122,127
2025-01-01,16,Wednesday,False,INT-07,Business Bay - Marasi Dr,897,34.5,73.3,0.48,125,127
2025-01-01,17,Wednesday,False,INT-07,Business Bay - Marasi Dr,1439,21.0,113.8,0.771,330,333
2025-01-01,18,Wednesday,False,INT-07,Business Bay - Marasi Dr,1550,15.3,131.8,0.83,384,384
2025-01-01,19,Wednesday,False,INT-07,Business Bay - Marasi Dr,829,38.8,67.1,0.444,107,106
2025-01-01,20,Wednesday,False,INT-07,Business Bay - Marasi Dr,946,35.0,70.0,0.507,142,141
2025-01-01,21,Wednesday,False,INT-07,Business Bay - Marasi Dr,720,33.4,43.5,0.386,81,84
2025-01-01,22,Wednesday,False,INT-07,Business Bay - Marasi Dr,531,42.2,64.0,0.284,43,47
2025-01-01,23,Wednesday,False,INT-07,Business Bay - Marasi Dr,386,44.1,30.5,0.207,22,22
2025-01-01,0,Wednesday,False,INT-08,Dubai Mall Junction,170,56.7,0.3,0.089,5,9
2025-01-01,1,Wednesday,False,INT-08,Dubai Mall Junction,136,51.1,12.0,0.071,0,9
2025-01-01,2,Wednesday,False,INT-08,Dubai Mall Junction,127,54.4,0.0,0.066,0,2
2025-01-01,3,Wednesday,False,INT-08,Dubai Mall Junction,58,58.2,2.5,0.03,0,0
2025-01-01,4,Wednesday,False,INT-08,Dubai Mall Junction,68,55.5,5.6,0.036,0,2
2025-01-01,5,Wednesday,False,INT-08,Dubai Mall Junction,128,62.0,17.9,0.067,4,2
2025-01-01,6,Wednesday,False,INT-08,Dubai Mall Junction,325,56.0,20.7,0.17,17,16
2025-01-01,7,Wednesday,False,INT-08,Dubai Mall Junction,840,32.7,55.9,0.44,108,111
2025-01-01,8,Wednesday,False,INT-08,Dubai Mall Junction,1564,15.5,120.2,0.819,383,382
2025-01-01,9,Wednesday,False,INT-08,Dubai Mall Junction,1258,26.4,75.9,0.659,247,246
2025-01-01,10,Wednesday,False,INT-08,Dubai Mall Junction,824,34.7,61.6,0.431,105,105
2025-01-01,11,Wednesday,False,INT-08,Dubai Mall Junction,928,35.4,62.9,0.486,134,136
2025-01-01,12,Wednesday,False,INT-08,Dubai Mall Junction,1025,29.2,74.9,0.537,168,163
2025-01-01,13,Wednesday,False,INT-08,Dubai Mall Junction,1331,25.7,117.6,0.697,276,277
2025-01-01,14,Wednesday,False,INT-08,Dubai Mall Junction,816,40.3,55.8,0.427,106,105
2025-01-01,15,Wednesday,False,INT-08,Dubai Mall Junction,790,41.6,60.6,0.414,99,97
2025-01-01,16,Wednesday,False,INT-08,Dubai Mall Junction,851,38.1,68.5,0.445,114,113
2025-01-01,17,Wednesday,False,INT-08,Dubai Mall Junction,1569,12.3,106.6,0.821,388,388
2025-01-01,18,Wednesday,False,INT-08,Dubai Mall Junction,1508,16.5,118.7,0.789,360,362
2025-01-01,19,Wednesday,False,INT-08,Dubai Mall Junction,1016,30.0,71.8,0.532,165,157
2025-01-01,20,Wednesday,False,INT-08,Dubai Mall Junction,1200,25.3,106.8,0.628,229,226
2025-01-01,21,Wednesday,False,INT-08,Dubai Mall Junction,668,39.4,45.7,0.35,67,72
2025-01-01,22,Wednesday,False,INT-08,Dubai Mall Junction,435,53.6,52.4,0.228,28,30
2025-01-01,23,Wednesday,False,INT-08,Dubai Mall Junction,314,53.8,36.4,0.164,15,16
2025-01-01,0,Wednesday,False,INT-09,Al Quoz Industrial,169,54.5,35.5,0.08,4,5
2025-01-01,1,Wednesday,False,INT-09,Al Quoz Industrial,178,52.8,12.5,0.084,3,4
2025-01-01,2,Wednesday,False,INT-09,Al Quoz Industrial,102,55.2,8.9,0.048,0,3
2025-01-01,3,Wednesday,False,INT-09,Al Quoz Industrial,96,56.1,2.1,0.045,1,0
2025-01-01,4,Wednesday,False,INT-09,Al Quoz Industrial,111,58.2,11.5,0.053,3,0
2025-01-01,5,Wednesday,False,INT-09,Al Quoz Industrial,163,56.2,20.6,0.077,3,6
2025-01-01,6,Wednesday,False,INT-09,Al Quoz Industrial,373,57.0,21.7,0.177,20,17
2025-01-01,7,Wednesday,False,INT-09,Al Quoz Industrial,891,39.1,72.0,0.422,118,112
2025-01-01,8,Wednesday,False,INT-09,Al Quoz Industrial,1286,29.4,76.4,0.609,236,233
2025-01-01,9,Wednesday,False,INT-09,Al Quoz Industrial,1271,30.8,85.6,0.602,231,231
2025-01-01,10,Wednesday,False,INT-09,Al Quoz Industrial,697,39.5,31.9,0.33,73,68
2025-01-01,11,Wednesday,False,INT-09,Al Quoz Industrial,1115,26.6,70.3,0.528,178,176
2025-01-01,12,Wednesday,False,INT-09,Al Quoz Industrial,1140,27.1,91.5,0.54,186,185
2025-01-01,13,Wednesday,False,INT-09,Al Quoz Industrial,1026,34.7,67.0,0.486,146,149
2025-01-01,14,Wednesday,False,INT-09,Al Quoz Industrial,945,39.0,42.1,0.447,127,124
2025-01-01,15,Wednesday,False,INT-09,Al Quoz Industrial,922,37.5,62.0,0.437,122,118
2025-01-01,16,Wednesday,False,INT-09,Al Quoz Industrial,1231,26.4,68.4,0.583,214,211
2025-01-01,17,Wednesday,False,INT-09,Al Quoz Industrial,1461,21.9,112.0,0.692,304,300
2025-01-01,18,Wednesday,False,INT-09,Al Quoz Industrial,1384,26.2,102.8,0.655,274,274
2025-01-01,19,Wednesday,False,INT-09,Al Quoz Industrial,1475,23.4,113.6,0.698,308,309
2025-01-01,20,Wednesday,False,INT-09,Al Quoz Industrial,1171,28.4,80.3,0.554,193,194
2025-01-01,21,Wednesday,False,INT-09,Al Quoz Industrial,817,38.5,60.2,0.387,93,94
2025-01-01,22,Wednesday,False,INT-09,Al Quoz Industrial,628,45.3,41.5,0.297,58,51
2025-01-01,23,Wednesday,False,INT-09,Al Quoz Industrial,507,44.4,38.6,0.24,34,37
2025-01-01,0,Wednesday,False,INT-10,Jumeirah Beach Rd,166,61.7,8.9,0.075,4,5
2025-01-01,1,Wednesday,False,INT-10,Jumeirah Beach Rd,157,56.6,13.9,0.071,8,3
2025-01-01,2,Wednesday,False,INT-10,Jumeirah Beach Rd,113,60.4,18.4,0.051,4,3
2025-01-01,3,Wednesday,False,INT-10,Jumeirah Beach Rd,76,63.0,0.0,0.034,1,0
2025-01-01,4,Wednesday,False,INT-10,Jumeirah Beach Rd,90,58.8,9.1,0.041,1,4
2025-01-01,5,Wednesday,False,INT-10,Jumeirah Beach Rd,156,55.4,19.8,0.071,5,0
2025-01-01,6,Wednesday,False,INT-10,Jumeirah Beach Rd,400,52.3,23.2,0.181,24,21
2025-01-01,7,Wednesday,False,INT-10,Jumeirah Beach Rd,1029,34.3,67.4,0.467,141,141
2025-01-01,8,Wednesday,False,INT-10,Jumeirah Beach Rd,1934,10.1,116.4,0.877,504,507
2025-01-01,9,Wednesday,False,INT-10,Jumeirah Beach Rd,1030,39.7,77.4,0.467,143,148
2025-01-01,10,Wednesday,False,INT-10,Jumeirah Beach Rd,1159,30.6,50.7,0.526,187,180
2025-01-01,11,Wednesday,False,INT-10,Jumeirah Beach Rd,691,46.1,69.5,0.313,67,66
2025-01-01,12,Wednesday,False,INT-10,Jumeirah Beach Rd,1200,33.2,86.0,0.544,196,196
2025-01-01,13,Wednesday,False,INT-10,Jumeirah Beach Rd,1182,28.8,74.4,0.536,186,189
2025-01-01,14,Wednesday,False,INT-10,Jumeirah Beach Rd,860,35.6,58.0,0.39,103,102
2025-01-01,15,Wednesday,False,INT-10,Jumeirah Beach Rd,702,39.8,55.3,0.318,65,66
2025-01-01,16,Wednesday,False,INT-10,Jumeirah Beach Rd,1193,27.9,79.0,0.541,191,192
2025-01-01,17,Wednesday,False,INT-10,Jumeirah Beach Rd,1540,17.5,105.0,0.699,322,323
2025-01-01,18,Wednesday,False,INT-10,Jumeirah Beach Rd,1708,22.3,112.8,0.775,396,397
2025-01-01,19,Wednesday,False,INT-10,Jumeirah Beach Rd,1688,18.8,110.7,0.766,386,386
2025-01-01,20,Wednesday,False,INT-10,Jumeirah Beach Rd,1015,40.4,53.9,0.46,138,138
2025-01-01,21,Wednesday,False,INT-10,Jumeirah Beach Rd,1145,31.1,87.3,0.519,177,178
2025-01-01,22,Wednesday,False,INT-10,Jumeirah Beach Rd,562,52.7,24.8,0.255,43,44
2025-01-01,23,Wednesday,False,INT-10,Jumeirah Beach Rd,390,49.9,24.2,0.177,20,20
2025-01-01,0,Wednesday,False,INT-11,Palm Jumeirah Tunnel,221,51.6,20.3,0.09,3,7
2025-01-01,1,Wednesday,False,INT-11,Palm Jumeirah Tunnel,125,55.4,26.3,0.051,5,1
2025-01-01,2,Wednesday,False,INT-11,Palm Jumeirah Tunnel,129,60.8,14.4,0.053,1,0
2025-01-01,3,Wednesday,False,INT-11,Palm Jumeirah Tunnel,115,60.9,23.9,0.047,0,0
2025-01-01,4,Wednesday,False,INT-11,Palm Jumeirah Tunnel,119,52.7,19.4,0.049,1,0
2025-01-01,5,Wednesday,False,INT-11,Palm Jumeirah Tunnel,168,52.3,18.1,0.069,6,5
2025-01-01,6,Wednesday,False,INT-11,Palm Jumeirah Tunnel,393,46.7,8.1,0.16,16,18
2025-01-01,7,Wednesday,False,INT-11,Palm Jumeirah Tunnel,1141,37.4,49.1,0.466,162,160
2025-01-01,8,Wednesday,False,INT-11,Palm Jumeirah Tunnel,1649,20.1,109.4,0.673,332,333
2025-01-01,9,Wednesday,False,INT-11,Palm Jumeirah Tunnel,1510,24.0,86.0,0.617,281,280
2025-01-01,10,Wednesday,False,INT-11,Palm Jumeirah Tunnel,1252,28.9,71.2,0.511,191,192
2025-01-01,11,Wednesday,False,INT-11,Palm Jumeirah Tunnel,1071,36.9,87.6,0.437,139,139
2025-01-01,12,Wednesday,False,INT-11,Palm Jumeirah Tunnel,1012,33.1,47.3,0.413,124,128
2025-01-01,13,Wednesday,False,INT-11,Palm Jumeirah Tunnel,1334,31.2,77.5,0.545,218,220
2025-01-01,14,Wednesday,False,INT-11,Palm Jumeirah Tunnel,786,46.3,21.1,0.321,75,80
2025-01-01,15,Wednesday,False,INT-11,Palm Jumeirah Tunnel,1124,36.3,86.1,0.459,153,155
