date,hour,zone,congestion_index,estimated_vehicles,avg_speed_kmh,co2_emissions_kg,fuel_waste_liters,is_weekend
2025-01-01,16,JBR,0.574,800,34.8,82.41,100.3,False
2025-01-01,17,JBR,0.754,846,31.4,98.6,147.5,False
2025-01-01,18,JBR,0.902,961,29.2,122.71,171.2,False
2025-01-01,19,JBR,0.657,789,36.3,86.22,121.5,False
2025-01-01,20,JBR,0.652,799,35.0,87.01,114.3,False
2025-01-01,21,JBR,0.413,700,46.9,63.7,80.5,False
2025-01-01,22,JBR,0.429,736,44.2,67.87,73.1,False
2025-01-01,23,JBR,0.289,621,54.0,50.71,54.7,False
2025-01-01,0,Business Bay,0.062,496,65.9,32.07,5.9,False
2025-01-01,1,Business Bay,0.081,531,64.5,35.09,27.1,False
2025-01-01,2,Business Bay,0.11,570,60.1,38.92,32.5,False
2025-01-01,3,Business Bay,0.029,546,62.9,33.96,0.0,False
2025-01-01,4,Business Bay,0.023,488,61.3,30.14,0.0,False
2025-01-01,5,Business Bay,0.034,542,61.3,33.89,0.0,False
2025-01-01,6,Business Bay,0.354,675,53.9,58.44,52.3,False
2025-01-01,7,Business Bay,0.672,859,35.0,94.84,129.6,False
2025-01-01,8,Business Bay,1.0,982,23.7,132.57,195.9,False
2025-01-01,9,Business Bay,0.91,962,16.9,123.41,172.4,False
2025-01-01,10,Business Bay,0.676,841,36.6,93.13,117.4,False
2025-01-01,11,Business Bay,0.545,765,37.9,77.2,105.9,False
2025-01-01,12,Business Bay,0.633,849,39.8,91.25,119.0,False
2025-01-01,13,Business Bay,0.973,1014,18.6,134.83,215.6,False
2025-01-01,14,Business Bay,0.628,796,33.1,85.24,122.5,False
2025-01-01,15,Business Bay,0.656,844,37.9,92.14,139.3,False
2025-01-01,16,Business Bay,0.83,906,22.1,110.74,186.7,False
2025-01-01,17,Business Bay,1.0,979,23.2,132.17,199.7,False
2025-01-01,18,Business Bay,1.0,986,24.0,133.11,215.0,False
2025-01-01,19,Business Bay,1.0,983,16.8,132.71,222.1,False
2025-01-01,20,Business Bay,0.745,898,33.6,104.03,172.2,False
2025-01-01,21,Business Bay,0.75,878,37.1,102.07,149.9,False
2025-01-01,22,Business Bay,0.51,724,42.8,71.13,113.2,False
2025-01-01,23,Business Bay,0.271,675,53.6,54.22,62.5,False
2025-01-01,0,Al Quoz,0.082,508,63.6,33.6,40.3,False
2025-01-01,1,Al Quoz,0.054,485,60.7,31.06,34.4,False
2025-01-01,2,Al Quoz,0.051,549,66.6,35.04,53.1,False
2025-01-01,3,Al Quoz,0.05,585,60.2,37.3,0.0,False
2025-01-01,4,Al Quoz,0.0,489,65.9,29.34,0.0,False
2025-01-01,5,Al Quoz,0.139,562,53.6,39.59,19.7,False
2025-01-01,6,Al Quoz,0.114,559,55.3,38.32,12.2,False
2025-01-01,7,Al Quoz,0.381,720,48.8,63.78,73.4,False
2025-01-01,8,Al Quoz,0.77,862,30.1,101.52,168.0,False
2025-01-01,9,Al Quoz,0.565,834,42.5,85.36,123.1,False
2025-01-01,10,Al Quoz,0.406,702,43.6,63.49,72.1,False
2025-01-01,11,Al Quoz,0.486,740,39.4,71.35,95.2,False
2025-01-01,12,Al Quoz,0.44,736,49.8,68.43,56.1,False
2025-01-01,13,Al Quoz,0.5,765,39.7,74.56,93.5,False
2025-01-01,14,Al Quoz,0.426,715,45.6,65.77,82.6,False
2025-01-01,15,Al Quoz,0.552,710,46.6,72.01,103.2,False
2025-01-01,16,Al Quoz,0.385,709,48.1,63.04,63.1,False
2025-01-01,17,Al Quoz,0.543,762,35.9,76.76,106.2,False
2025-01-01,18,Al Quoz,0.589,812,33.2,84.59,122.0,False
2025-01-01,19,Al Quoz,0.734,883,36.6,101.57,142.9,False
2025-01-01,20,Al Quoz,0.457,730,36.1,68.82,109.3,False
2025-01-01,21,Al Quoz,0.495,723,41.8,70.21,98.9,False
2025-01-01,22,Al Quoz,0.257,663,49.7,52.56,45.2,False
2025-01-01,23,Al Quoz,0.053,508,60.2,32.49,8.9,False
2025-01-01,0,DIP,0.0,504,64.9,30.24,5.3,False
2025-01-01,1,DIP,0.116,573,61.9,39.37,24.9,False
2025-01-01,2,DIP,0.02,496,62.9,30.51,1.1,False
2025-01-01,3,DIP,0.0,484,67.7,29.04,14.0,False
2025-01-01,4,DIP,0.0,527,65.1,31.62,0.0,False
2025-01-01,5,DIP,0.0,520,62.7,31.2,21.7,False
2025-01-01,6,DIP,0.018,510,64.9,31.27,13.2,False
2025-01-01,7,DIP,0.33,711,49.0,60.24,80.9,False
2025-01-01,8,DIP,0.642,796,37.6,86.08,107.1,False
2025-01-01,9,DIP,0.491,677,43.3,65.54,108.5,False
2025-01-01,10,DIP,0.359,660,43.7,57.36,70.0,False
2025-01-01,11,DIP,0.349,612,49.1,52.73,76.1,False
2025-01-01,12,DIP,0.366,695,49.6,60.8,86.0,False
2025-01-01,13,DIP,0.313,647,57.0,54.01,77.0,False
2025-01-01,14,DIP,0.429,722,39.8,66.54,93.2,False
2025-01-01,15,DIP,0.533,796,40.1,79.55,79.9,False
2025-01-01,16,DIP,0.687,837,32.9,93.36,128.0,False
2025-01-01,17,DIP,0.567,772,41.5,79.17,106.0,False
2025-01-01,18,DIP,0.658,877,37.3,95.92,148.1,False
2025-01-01,19,DIP,0.549,755,38.0,76.4,123.3,False
2025-01-01,20,DIP,0.385,669,43.1,59.44,96.8,False
2025-01-01,21,DIP,0.291,636,52.2,52.04,79.9,False
2025-01-01,22,DIP,0.223,621,55.9,47.64,69.4,False
2025-01-01,23,DIP,0.163,570,59.7,41.16,57.9,False
2025-01-01,0,Academic City,0.0,545,63.0,32.7,0.0,False
2025-01-01,1,Academic City,0.139,526,56.0,37.04,20.0,False
2025-01-01,2,Academic City,0.048,525,63.8,33.4,0.0,False
2025-01-01,3,Academic City,0.075,501,58.0,32.86,29.8,False
2025-01-01,4,Academic City,0.0,493,64.5,29.58,0.0,False
2025-01-01,5,Academic City,0.058,512,68.2,32.93,2.8,False
2025-01-01,6,Academic City,0.0,506,69.6,30.36,0.0,False
2025-01-01,7,Academic City,0.39,661,52.1,59.02,50.7,False
2025-01-01,8,Academic City,0.557,808,42.0,82.21,105.5,False
2025-01-01,9,Academic City,0.298,656,51.0,54.03,84.7,False
2025-01-01,10,Academic City,0.135,578,60.7,40.51,10.8,False
2025-01-01,11,Academic City,0.208,594,56.7,44.93,66.1,False
2025-01-01,12,Academic City,0.42,749,41.4,68.51,108.6,False
2025-01-01,13,Academic City,0.397,681,42.7,61.12,84.0,False
2025-01-01,14,Academic City,0.421,741,42.9,67.84,97.5,False
2025-01-01,15,Academic City,0.323,711,47.2,59.91,95.1,False
2025-01-01,16,Academic City,0.432,744,44.9,68.74,92.2,False
2025-01-01,17,Academic City,0.452,742,43.0,69.67,104.4,False
2025-01-01,18,Academic City,0.431,678,40.7,62.59,86.9,False
2025-01-01,19,Academic City,0.443,721,46.2,67.21,104.4,False
2025-01-01,20,Academic City,0.415,693,44.1,63.15,83.1,False
2025-01-01,21,Academic City,0.284,635,51.2,51.65,48.9,False
2025-01-01,22,Academic City,0.343,729,48.0,62.47,78.8,False
2025-01-01,23,Academic City,0.181,582,60.5,42.82,34.9,False
2025-01-01,0,Jumeirah,0.033,509,68.1,31.8,24.7,False
2025-01-01,1,Jumeirah,0.0,516,64.6,30.96,0.0,False
2025-01-01,2,Jumeirah,0.128,600,59.8,41.77,38.5,False
2025-01-01,3,Jumeirah,0.001,517,64.0,31.06,11.2,False
2025-01-01,4,Jumeirah,0.0,522,69.1,31.32,5.9,False
2025-01-01,5,Jumeirah,0.097,545,59.0,36.65,36.9,False
2025-01-01,6,Jumeirah,0.068,547,57.8,35.63,32.2,False
2025-01-01,7,Jumeirah,0.6,832,33.9,87.35,116.9,False
2025-01-01,8,Jumeirah,0.629,813,37.2,87.16,109.6,False
2025-01-01,9,Jumeirah,0.817,962,21.0,116.67,167.4,False
2025-01-01,10,Jumeirah,0.388,694,49.7,61.81,84.1,False
2025-01-01,11,Jumeirah,0.331,632,48.7,53.59,49.8,False
2025-01-01,12,Jumeirah,0.54,763,39.5,76.7,95.3,False
2025-01-01,13,Jumeirah,0.456,777,43.1,73.22,75.9,False
2025-01-01,14,Jumeirah,0.39,695,43.4,62.03,78.0,False
2025-01-01,15,Jumeirah,0.205,647,56.3,48.78,55.7,False
2025-01-01,16,Jumeirah,0.487,726,45.8,70.07,97.2,False
2025-01-01,17,Jumeirah,0.733,888,30.0,102.12,150.1,False
2025-01-01,18,Jumeirah,0.842,938,28.5,115.52,157.2,False
2025-01-01,19,Jumeirah,0.718,860,30.7,97.88,137.7,False
2025-01-01,20,Jumeirah,0.677,848,31.1,93.92,121.8,False
2025-01-01,21,Jumeirah,0.431,709,45.5,65.44,93.9,False
2025-01-01,22,Jumeirah,0.419,704,46.3,64.34,102.9,False
2025-01-01,23,Jumeirah,0.294,566,53.5,46.42,54.0,False
2025-01-01,0,Al Barsha,0.122,522,58.2,36.08,26.0,False
2025-01-01,1,Al Barsha,0.185,577,50.1,42.64,47.0,False
2025-01-01,2,Al Barsha,0.062,542,63.5,35.06,16.2,False
2025-01-01,3,Al Barsha,0.0,544,62.0,32.64,0.0,False
2025-01-01,4,Al Barsha,0.087,561,62.9,37.3,43.0,False
2025-01-01,5,Al Barsha,0.0,526,69.4,31.56,0.0,False
2025-01-01,6,Al Barsha,0.096,527,59.5,35.42,9.7,False
2025-01-01,7,Al Barsha,0.643,858,38.3,92.85,145.1,False
2025-01-01,8,Al Barsha,0.709,848,27.6,95.95,140.5,False
2025-01-01,9,Al Barsha,0.66,806,32.4,88.25,137.7,False
2025-01-01,10,Al Barsha,0.421,736,47.6,67.43,96.0,False
2025-01-01,11,Al Barsha,0.475,728,41.4,69.59,76.1,False
2025-01-01,12,Al Barsha,0.477,748,42.3,71.64,115.2,False
2025-01-01,13,Al Barsha,0.594,843,35.5,88.15,128.4,False
2025-01-01,14,Al Barsha,0.508,769,39.0,75.42,103.4,False
2025-01-01,15,Al Barsha,0.539,820,42.3,82.34,113.5,False
2025-01-01,16,Al Barsha,0.598,811,35.9,85.06,125.9,False
2025-01-01,17,Al Barsha,0.719,878,28.0,100.01,138.2,False
2025-01-01,18,Al Barsha,0.938,963,16.0,125.56,178.6,False
2025-01-01,19,Al Barsha,0.845,922,27.9,113.78,199.5,False
2025-01-01,20,Al Barsha,0.581,737,40.0,76.31,146.1,False
2025-01-01,21,Al Barsha,0.406,666,42.3,60.26,84.8,False
2025-01-01,22,Al Barsha,0.472,731,37.5,69.75,92.5,False
2025-01-01,23,Al Barsha,0.252,585,55.9,46.15,24.6,False
2025-01-01,0,Airport Area,0.096,545,56.1,36.63,4.8,False
2025-01-01,1,Airport Area,0.133,591,58.5,41.34,32.6,False
2025-01-01,2,Airport Area,0.087,558,59.3,37.12,0.0,False
2025-01-01,3,Airport Area,0.053,460,63.6,29.42,0.0,False
2025-01-01,4,Airport Area,0.0,499,65.2,29.94,33.3,False
2025-01-01,5,Airport Area,0.056,536,69.9,34.43,0.0,False
2025-01-01,6,Airport Area,0.258,591,52.7,46.88,13.3,False
2025-01-01,7,Airport Area,0.576,740,39.7,76.37,145.4,False
2025-01-01,8,Airport Area,0.966,962,20.1,127.43,188.0,False
2025-01-01,9,Airport Area,0.729,840,35.8,96.36,154.8,False
2025-01-01,10,Airport Area,0.797,956,28.3,114.48,153.2,False
2025-01-01,11,Airport Area,0.668,824,31.0,90.69,117.0,False
2025-01-01,12,Airport Area,0.715,845,29.5,96.0,155.3,False
2025-01-01,13,Airport Area,0.823,887,29.9,107.96,158.4,False
2025-01-01,14,Airport Area,0.676,814,34.9,90.11,132.0,False
2025-01-01,15,Airport Area,0.568,792,39.8,81.28,128.4,False
2025-01-01,16,Airport Area,0.67,876,35.3,96.6,137.1,False
2025-01-01,17,Airport Area,0.992,995,18.4,133.76,213.7,False
2025-01-01,18,Airport Area,1.0,981,18.5,132.44,206.7,False
2025-01-01,19,Airport Area,1.0,1027,20.9,138.65,205.8,False
2025-01-01,20,Airport Area,0.866,920,23.4,114.93,153.9,False
2025-01-01,21,Airport Area,0.773,895,27.4,105.59,146.3,False
2025-01-01,22,Airport Area,0.335,692,49.5,58.92,65.4,False
2025-01-01,23,Airport Area,0.122,567,61.7,39.2,31.5,False
2025-01-02,0,Deira,0.0,565,63.3,33.9,0.0,False
2025-01-02,1,Deira,0.151,576,60.3,41.09,21.9,False
2025-01-02,2,Deira,0.129,572,53.3,39.86,20.6,False
2025-01-02,3,Deira,0.0,477,63.3,28.62,2.7,False
2025-01-02,4,Deira,0.059,552,67.3,35.58,13.1,False
2025-01-02,5,Deira,0.109,504,53.2,34.36,29.3,False
2025-01-02,6,Deira,0.305,608,49.4,50.38,74.5,False
2025-01-02,7,Deira,0.735,813,26.5,93.6,164.6,False
2025-01-02,8,Deira,1.0,1040,19.5,140.4,174.8,False
2025-01-02,9,Deira,0.762,843,29.4,98.73,149.7,False
2025-01-02,10,Deira,0.639,839,34.3,90.57,119.7,False
2025-01-02,11,Deira,0.585,785,35.1,81.56,88.2,False
2025-01-02,12,Deira,0.679,816,25.7,90.5,148.5,False
2025-01-02,13,Deira,0.85,952,23.6,117.79,160.4,False
2025-01-02,14,Deira,0.535,740,39.7,74.11,118.8,False
2025-01-02,15,Deira,0.557,777,46.0,79.09,81.7,False
2025-01-02,16,Deira,0.853,916,23.0,113.54,182.4,False
2025-01-02,17,Deira,0.892,992,25.8,125.85,174.3,False
2025-01-02,18,Deira,1.0,1042,21.0,140.67,190.7,False
2025-01-02,19,Deira,0.994,1025,18.4,137.91,251.0,False
2025-01-02,20,Deira,0.787,935,29.4,111.32,176.7,False
2025-01-02,21,Deira,0.614,756,37.3,80.16,137.1,False
2025-01-02,22,Deira,0.492,803,47.0,77.82,96.5,False
2025-01-02,23,Deira,0.199,621,52.0,46.53,35.1,False
2025-01-02,0,Bur Dubai,0.119,527,58.9,36.34,31.1,False
2025-01-02,1,Bur Dubai,0.126,539,58.2,37.45,19.6,False
2025-01-02,2,Bur Dubai,0.0,463,68.9,27.78,13.5,False
2025-01-02,3,Bur Dubai,0.0,490,64.6,29.4,0.0,False
2025-01-02,4,Bur Dubai,0.061,530,63.1,34.24,16.7,False
2025-01-02,5,Bur Dubai,0.157,588,59.2,42.22,53.8,False
2025-01-02,6,Bur Dubai,0.094,554,60.5,37.16,9.8,False
2025-01-02,7,Bur Dubai,0.495,753,42.4,73.12,86.7,False
2025-01-02,8,Bur Dubai,1.0,977,18.2,131.9,223.2,False
2025-01-02,9,Bur Dubai,0.618,790,37.2,84.0,153.8,False
2025-01-02,10,Bur Dubai,0.561,759,39.0,77.48,132.5,False
2025-01-02,11,Bur Dubai,0.496,735,39.7,71.44,98.6,False
2025-01-02,12,Bur Dubai,0.494,682,41.9,66.18,107.4,False
2025-01-02,13,Bur Dubai,0.623,758,35.6,80.92,120.4,False
2025-01-02,14,Bur Dubai,0.58,775,34.7,80.23,112.0,False
2025-01-02,15,Bur Dubai,0.548,752,35.4,76.06,100.0,False
2025-01-02,16,Bur Dubai,0.731,839,34.9,96.35,157.8,False
2025-01-02,17,Bur Dubai,0.825,934,33.2,113.85,164.5,False
2025-01-02,18,Bur Dubai,1.0,1010,24.7,136.35,191.3,False
2025-01-02,19,Bur Dubai,0.928,933,26.3,120.89,186.7,False
2025-01-02,20,Bur Dubai,0.843,886,26.6,109.15,158.0,False
2025-01-02,21,Bur Dubai,0.646,800,35.8,86.74,141.7,False
2025-01-02,22,Bur Dubai,0.391,716,43.6,63.93,84.1,False
2025-01-02,23,Bur Dubai,0.217,602,54.4,45.9,60.7,False
2025-01-02,0,Downtown,0.066,555,62.7,36.06,23.5,False
2025-01-02,1,Downtown,0.175,559,56.6,40.86,44.4,False
2025-01-02,2,Downtown,0.172,543,57.0,39.58,36.0,False
2025-01-02,3,Downtown,0.054,519,62.4,33.24,22.6,False
2025-01-02,4,Downtown,0.0,472,58.0,28.32,19.0,False
2025-01-02,5,Downtown,0.132,587,59.2,41.02,52.3,False
2025-01-02,6,Downtown,0.28,643,50.3,52.1,55.7,False
2025-01-02,7,Downtown,0.752,891,32.0,103.72,157.0,False
2025-01-02,8,Downtown,1.0,981,19.2,132.44,200.7,False
2025-01-02,9,Downtown,1.0,1036,22.1,139.86,190.5,False
2025-01-02,10,Downtown,0.806,940,28.0,113.25,161.7,False
2025-01-02,11,Downtown,0.71,829,31.2,93.89,137.8,False
2025-01-02,12,Downtown,0.796,898,25.5,107.49,140.3,False
2025-01-02,13,Downtown,0.872,934,26.5,117.11,194.5,False
2025-01-02,14,Downtown,0.663,807,34.8,88.53,135.4,False
2025-01-02,15,Downtown,0.759,863,30.8,100.91,148.2,False
2025-01-02,16,Downtown,0.799,923,28.9,110.72,141.7,False
2025-01-02,17,Downtown,0.981,970,18.6,129.59,209.2,False
2025-01-02,18,Downtown,1.0,975,15.7,131.62,208.5,False
2025-01-02,19,Downtown,1.0,1054,20.3,142.29,187.7,False
2025-01-02,20,Downtown,1.0,1037,17.0,140.0,208.0,False
2025-01-02,21,Downtown,0.752,881,34.0,102.56,144.3,False
2025-01-02,22,Downtown,0.469,774,44.1,73.64,73.3,False
2025-01-02,23,Downtown,0.341,635,51.4,54.36,60.0,False
2025-01-02,0,Marina,0.13,540,54.0,37.65,20.5,False
2025-01-02,1,Marina,0.158,586,53.5,42.12,16.3,False
2025-01-02,2,Marina,0.134,521,61.7,36.48,14.5,False
2025-01-02,3,Marina,0.075,532,59.8,34.9,12.5,False
2025-01-02,4,Marina,0.0,466,60.4,27.96,27.8,False
2025-01-02,5,Marina,0.146,638,58.3,45.26,18.1,False
2025-01-02,6,Marina,0.231,581,54.0,44.93,38.4,False
2025-01-02,7,Marina,0.631,836,38.6,89.74,123.8,False
2025-01-02,8,Marina,0.876,933,26.3,117.31,164.4,False
2025-01-02,9,Marina,0.682,876,32.4,97.37,126.0,False
2025-01-02,10,Marina,0.574,771,44.1,79.46,104.3,False
2025-01-02,11,Marina,0.637,800,34.0,86.24,123.7,False
2025-01-02,12,Marina,0.544,776,39.8,78.22,88.4,False
2025-01-02,13,Marina,0.707,848,32.7,95.86,137.7,False
2025-01-02,14,Marina,0.562,785,38.3,80.18,106.9,False
2025-01-02,15,Marina,0.577,778,35.6,80.34,112.5,False
2025-01-02,16,Marina,0.609,792,34.6,83.71,116.4,False
2025-01-02,17,Marina,0.857,936,21.0,116.32,199.9,False
2025-01-02,18,Marina,0.877,996,20.5,125.25,202.6,False
2025-01-02,19,Marina,0.797,969,26.9,116.09,169.7,False
2025-01-02,20,Marina,0.77,895,27.6,105.42,182.7,False
2025-01-02,21,Marina,0.58,781,41.0,80.82,121.3,False
2025-01-02,22,Marina,0.337,653,53.4,55.7,46.7,False
2025-01-02,23,Marina,0.235,621,57.0,48.21,30.3,False
2025-01-02,0,JBR,0.086,567,59.1,37.66,30.6,False
2025-01-02,1,JBR,0.11,536,62.3,36.6,14.7,False
2025-01-02,2,JBR,0.134,538,57.4,37.67,30.1,False
2025-01-02,3,JBR,0.034,525,56.3,32.84,14.0,False
2025-01-02,4,JBR,0.008,519,67.2,31.45,0.0,False
2025-01-02,5,JBR,0.0,496,68.9,29.76,0.0,False
2025-01-02,6,JBR,0.133,554,55.1,38.78,10.7,False
2025-01-02,7,JBR,0.54,758,42.7,76.19,101.0,False
2025-01-02,8,JBR,0.62,808,35.0,86.04,103.3,False
2025-01-02,9,JBR,0.545,790,38.1,79.68,114.6,False
2025-01-02,10,JBR,0.519,741,39.2,73.28,97.0,False
2025-01-02,11,JBR,0.591,762,37.8,79.47,99.4,False
2025-01-02,12,JBR,0.508,744,38.0,73.01,106.6,False
2025-01-02,13,JBR,0.589,769,34.6,80.13,106.0,False
2025-01-02,14,JBR,0.491,753,40.3,72.9,79.7,False
2025-01-02,15,JBR,0.416,682,50.3,62.22,106.0,False
2025-01-02,16,JBR,0.545,740,35.7,74.65,95.3,False
2025-01-02,17,JBR,0.714,837,35.0,95.01,138.5,False
